step:100 smpl:2K ep:10 epch:0.16 loss:1089.237 grdn:745.354 lr:1.3e-05 updt_s:0.422 data_s:0.068 smp/s:49 mem_gb:6.28 losses_after_forward:1088.680 losses_after_in_ep_bound:983.146 losses_after_rm_padding:983.146
step:200 smpl:5K ep:19 epch:0.32 loss:655.139 grdn:483.055 lr:3.8e-05 updt_s:0.437 data_s:0.006 smp/s:54 mem_gb:6.29 losses_after_forward:655.159 losses_after_in_ep_bound:591.228 losses_after_rm_padding:591.228
step:300 smpl:7K ep:29 epch:0.48 loss:564.688 grdn:450.712 lr:6.3e-05 updt_s:0.450 data_s:0.006 smp/s:53 mem_gb:6.29 losses_after_forward:564.705 losses_after_in_ep_bound:508.655 losses_after_rm_padding:508.655
step:400 smpl:10K ep:39 epch:0.64 loss:453.591 grdn:404.042 lr:8.8e-05 updt_s:0.456 data_s:0.006 smp/s:52 mem_gb:6.29 losses_after_forward:453.599 losses_after_in_ep_bound:409.175 losses_after_rm_padding:409.175
step:500 smpl:12K ep:48 epch:0.80 loss:325.471 grdn:342.095 lr:1.0e-04 updt_s:0.460 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:325.456 losses_after_in_ep_bound:292.529 losses_after_rm_padding:292.529
step:600 smpl:14K ep:58 epch:0.96 loss:212.747 grdn:276.351 lr:9.9e-05 updt_s:0.461 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:212.743 losses_after_in_ep_bound:192.063 losses_after_rm_padding:192.063
step:700 smpl:17K ep:67 epch:1.12 loss:123.677 grdn:210.216 lr:9.9e-05 updt_s:0.460 data_s:0.018 smp/s:50 mem_gb:6.24 losses_after_forward:123.684 losses_after_in_ep_bound:111.308 losses_after_rm_padding:111.308
step:800 smpl:19K ep:77 epch:1.28 loss:58.968 grdn:144.121 lr:9.9e-05 updt_s:0.462 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:58.962 losses_after_in_ep_bound:52.885 losses_after_rm_padding:52.885
step:900 smpl:22K ep:87 epch:1.44 loss:18.817 grdn:79.150 lr:9.9e-05 updt_s:0.463 data_s:0.005 smp/s:51 mem_gb:6.29 losses_after_forward:18.808 losses_after_in_ep_bound:17.094 losses_after_rm_padding:17.094
step:1K smpl:24K ep:96 epch:1.60 loss:2.157 grdn:22.241 lr:9.8e-05 updt_s:0.462 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:2.154 losses_after_in_ep_bound:1.924 losses_after_rm_padding:1.924
step:1K smpl:26K ep:106 epch:1.77 loss:0.312 grdn:6.081 lr:9.8e-05 updt_s:0.460 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.319 losses_after_in_ep_bound:0.280 losses_after_rm_padding:0.280
step:1K smpl:29K ep:116 epch:1.93 loss:0.252 grdn:6.414 lr:9.8e-05 updt_s:0.459 data_s:0.006 smp/s:52 mem_gb:6.29 losses_after_forward:0.260 losses_after_in_ep_bound:0.228 losses_after_rm_padding:0.228
step:1K smpl:31K ep:125 epch:2.09 loss:0.204 grdn:7.944 lr:9.7e-05 updt_s:0.455 data_s:0.019 smp/s:51 mem_gb:6.24 losses_after_forward:0.213 losses_after_in_ep_bound:0.183 losses_after_rm_padding:0.183
step:1K smpl:34K ep:135 epch:2.25 loss:0.159 grdn:7.199 lr:9.7e-05 updt_s:0.460 data_s:0.006 smp/s:52 mem_gb:6.29 losses_after_forward:0.169 losses_after_in_ep_bound:0.144 losses_after_rm_padding:0.144
step:2K smpl:36K ep:144 epch:2.41 loss:0.145 grdn:7.290 lr:9.7e-05 updt_s:0.460 data_s:0.006 smp/s:51 mem_gb:6.29 losses_after_forward:0.155 losses_after_in_ep_bound:0.132 losses_after_rm_padding:0.132
step:2K smpl:38K ep:154 epch:2.57 loss:0.135 grdn:7.193 lr:9.6e-05 updt_s:0.460 data_s:0.006 smp/s:52 mem_gb:6.29 losses_after_forward:0.145 losses_after_in_ep_bound:0.122 losses_after_rm_padding:0.122
step:2K smpl:41K ep:164 epch:2.73 loss:0.119 grdn:6.856 lr:9.6e-05 updt_s:0.459 data_s:0.006 smp/s:52 mem_gb:6.29 losses_after_forward:0.132 losses_after_in_ep_bound:0.107 losses_after_rm_padding:0.107
step:2K smpl:43K ep:173 epch:2.89 loss:0.109 grdn:6.400 lr:9.5e-05 updt_s:0.460 data_s:0.006 smp/s:52 mem_gb:6.29 losses_after_forward:0.122 losses_after_in_ep_bound:0.098 losses_after_rm_padding:0.098
step:2K smpl:46K ep:183 epch:3.05 loss:0.107 grdn:6.385 lr:9.4e-05 updt_s:0.456 data_s:0.019 smp/s:51 mem_gb:6.24 losses_after_forward:0.118 losses_after_in_ep_bound:0.097 losses_after_rm_padding:0.097
step:2K smpl:48K ep:193 epch:3.21 loss:0.105 grdn:6.820 lr:9.4e-05 updt_s:0.460 data_s:0.006 smp/s:52 mem_gb:6.29 losses_after_forward:0.119 losses_after_in_ep_bound:0.094 losses_after_rm_padding:0.094
step:2K smpl:50K ep:202 epch:3.37 loss:0.098 grdn:6.114 lr:9.3e-05 updt_s:0.460 data_s:0.007 smp/s:51 mem_gb:6.29 losses_after_forward:0.107 losses_after_in_ep_bound:0.088 losses_after_rm_padding:0.088
